title,link,published,description,category,article_id
Airport workers on travel problems,https://www.bbc.co.uk/news/uk-62169701?at_medium=RSS&at_campaign=KARANGA,"Fri, 22 Jul 2022 23:09:17 GMT","Pilots, flight attendants and a baggage handler tell us what is happening where they work.",business,62
Whisky makers are turning their backs on peat,https://www.bbc.co.uk/news/business-61596047?at_medium=RSS&at_campaign=KARANGA,"Thu, 21 Jul 2022 23:05:04 GMT",Burning peat has long been a way of adding flavour to whisky but some are now rejected that process.,business,63
The allotment firms helping to trim long waiting lists,https://www.bbc.co.uk/news/business-62220162?at_medium=RSS&at_campaign=KARANGA,"Wed, 20 Jul 2022 23:02:22 GMT","As people have to wait years to get a council allotment, private firms are offering an alternative.",business,64
'I looked at the prices in London... and chose Leeds',https://www.bbc.co.uk/news/business-62222589?at_medium=RSS&at_campaign=KARANGA,"Tue, 19 Jul 2022 23:02:42 GMT","Morten Toft Tech, founder of Meatless Farm, which makes plant-based meat alternative food, shares his business advice.",business,65
Why do companies get involved in social issues?,https://www.bbc.co.uk/news/business-62139217?at_medium=RSS&at_campaign=KARANGA,"Tue, 19 Jul 2022 23:03:52 GMT",Firms are getting more vocal on social issues but why now and what do customers and employees want?,business,66
Price rises: Why a simple lunch is costing more in Asia-Pacific,https://www.bbc.co.uk/news/62160733?at_medium=RSS&at_campaign=KARANGA,"Mon, 18 Jul 2022 23:38:04 GMT","From Singapore, to Seoul, to Sydney - how the cost of living affects lunch hour.",business,67
Cost of living: Will this mean more home grown fruit and veg?,https://www.bbc.co.uk/news/uk-wales-62206677?at_medium=RSS&at_campaign=KARANGA,"Tue, 19 Jul 2022 05:19:54 GMT",Rising prices for fruit and vegetables could mean more farm jobs and more people growing their own.,business,68
Firms 'going to war' against rivals on social media,https://www.bbc.co.uk/news/business-62161520?at_medium=RSS&at_campaign=KARANGA,"Sun, 17 Jul 2022 23:10:08 GMT",The boss of a high-tech monitoring company says some retailers are spreading lies about competitors.,business,69
"83, Samrat Prithviraj: Why Bollywood's big films are flopping at the box office",https://www.bbc.co.uk/news/world-asia-india-62145780?at_medium=RSS&at_campaign=KARANGA,"Sun, 17 Jul 2022 23:53:47 GMT","Several big-ticket films in 2022 have failed at the box office, leaving producers confused.",business,70
The social media lifeline amid soaring food costs,https://www.bbc.co.uk/news/business-62034982?at_medium=RSS&at_campaign=KARANGA,"Thu, 14 Jul 2022 23:12:11 GMT",Charities are using Google Maps and other social media to alert people to food clubs and community shops.,business,71
Former airline worker: 'It would be like going back to an ex',https://www.bbc.co.uk/news/business-61830479?at_medium=RSS&at_campaign=KARANGA,"Tue, 12 Jul 2022 23:13:05 GMT",Three people who used to work in aviation up until the Covid pandemic discuss whether they would return to the industry.,business,72
The firms sourcing locally to avoid global supply chain woes,https://www.bbc.co.uk/news/business-62122038?at_medium=RSS&at_campaign=KARANGA,"Wed, 13 Jul 2022 23:25:37 GMT","As worldwide supply routes are stretched, more companies are ""reshoring"" their production.",business,73
"Gaming time has no link with levels of wellbeing, study finds",https://www.bbc.co.uk/news/technology-62293235?at_medium=RSS&at_campaign=KARANGA,"Wed, 27 Jul 2022 02:26:37 GMT","Researchers analysed the gaming habits of 39,000 players of big titles such as Animal Crossing.",technology,74
Cost of living: Inside the 'foodbank' for data,https://www.bbc.co.uk/news/technology-61974877?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 18:07:28 GMT",The National Databank initiative offers free data to people struggling to pay for connectivity.,technology,75
"Music industry as tough as it has always been, watchdog says",https://www.bbc.co.uk/news/technology-62305395?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 16:44:36 GMT",The Competition and Markets Authority releases its latest report into the impact of streaming.,technology,76
Kim Kardashian and Kylie Jenner share Instagram criticism,https://www.bbc.co.uk/news/technology-62304262?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 16:11:33 GMT","Reality TV stars share post telling Instagram to ""stop trying to be TikTok"".",technology,77
Convenience store spy cameras face legal challenge,https://www.bbc.co.uk/news/uk-england-62297546?at_medium=RSS&at_campaign=KARANGA,"Mon, 25 Jul 2022 23:03:24 GMT","Big Brother Watch campaigners says the ""Orwellian"" cameras at Southern Co-op shops breach people's rights.",technology,78
Amazon Prime subscription price raised by £1 a month,https://www.bbc.co.uk/news/business-62297014?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 10:02:30 GMT",The £1-a-month rise comes after years in which the streaming service paid millions for football rights.,technology,79
Elon Musk denies affair with Google co-founder Sergey Brin's wife,https://www.bbc.co.uk/news/business-62288139?at_medium=RSS&at_campaign=KARANGA,"Mon, 25 Jul 2022 09:44:07 GMT",The technology multi-billionaire's comments came in response to a report in the Wall Street Journal.,technology,80
Google rules blocked children's diabetes app,https://www.bbc.co.uk/news/technology-62184812?at_medium=RSS&at_campaign=KARANGA,"Mon, 25 Jul 2022 00:00:51 GMT",An NHS-recommended app says Google will not permit it to send text message alerts about glucose levels.,technology,81
Chess robot breaks seven-year-old boy's finger during Moscow Open,https://www.bbc.co.uk/news/world-europe-62286017?at_medium=RSS&at_campaign=KARANGA,"Sun, 24 Jul 2022 15:21:06 GMT",The child was trying to make his next move at the Moscow Open when the robot grabbed him.,technology,82
World Cup to use drones to help protect stadiums,https://www.bbc.co.uk/news/technology-62243427?at_medium=RSS&at_campaign=KARANGA,"Fri, 22 Jul 2022 23:55:24 GMT",Venues in Qatar will be defended from potential drone attacks by the unmanned aerial vehicles.,technology,83
Blake Lemoine: Google fires engineer who said AI tech has feelings,https://www.bbc.co.uk/news/technology-62275326?at_medium=RSS&at_campaign=KARANGA,"Sat, 23 Jul 2022 02:20:42 GMT",Blake Lemoine went public with his beliefs that Google's breakthrough Lamda technology is sentient.,technology,84
Twitter spent $33m in three months on Elon Musk deal,https://www.bbc.co.uk/news/technology-62265756?at_medium=RSS&at_campaign=KARANGA,"Fri, 22 Jul 2022 12:55:36 GMT",The social network also reported losses in its latest financial figures.,technology,85
Tinder: Women's safety now at the heart of the app,https://www.bbc.co.uk/news/technology-62206485?at_medium=RSS&at_campaign=KARANGA,"Fri, 22 Jul 2022 03:34:04 GMT",The technology company is launching a partnership with domestic-violence campaign group No More.,technology,86
Abortion: YouTube removes misinformation videos,https://www.bbc.co.uk/news/technology-62264590?at_medium=RSS&at_campaign=KARANGA,"Fri, 22 Jul 2022 16:36:05 GMT",Videos promoting unsafe abortion methods and false claims are being taken down.,technology,87
Snapchat owner hit as advertising slump hits sales,https://www.bbc.co.uk/news/business-62261104?at_medium=RSS&at_campaign=KARANGA,"Fri, 22 Jul 2022 09:16:31 GMT",The California-based company is best known for the photo-sharing app Snapchat.,technology,88
UK blocks University of Manchester sensor deal with Chinese company,https://www.bbc.co.uk/news/technology-62243424?at_medium=RSS&at_campaign=KARANGA,"Sat, 23 Jul 2022 17:54:36 GMT","The proposed licensing of vision-sensing technology could be a national security risk, the government says.",technology,89
Elon Musk's Tesla sells most of its Bitcoin holdings,https://www.bbc.co.uk/news/business-62246367?at_medium=RSS&at_campaign=KARANGA,"Thu, 21 Jul 2022 03:07:55 GMT",The announcement comes as the value of the world's biggest cryptocurrency has plunged.,technology,90
Baidu unveils new self-driving taxi in China,https://www.bbc.co.uk/news/technology-62237612?at_medium=RSS&at_campaign=KARANGA,"Thu, 21 Jul 2022 02:06:59 GMT",Baidu says its latest robo-taxi has the road skills of a driver with 20 years' experience.,technology,91
China ride-hailing giant Didi fined $1.2bn after probe,https://www.bbc.co.uk/news/business-62248513?at_medium=RSS&at_campaign=KARANGA,"Thu, 21 Jul 2022 06:59:51 GMT",The country's cyber security watchdog launched a probe into the firm just days after its US listing.,technology,92
Heatwave forced Google and Oracle to shut down computers,https://www.bbc.co.uk/news/technology-62202125?at_medium=RSS&at_campaign=KARANGA,"Wed, 20 Jul 2022 16:32:36 GMT",Record temperatures meant some cooling systems failed at the firm's London data centres.,technology,93
US seizes stolen funds from suspected North Korean hackers,https://www.bbc.co.uk/news/technology-62239638?at_medium=RSS&at_campaign=KARANGA,"Wed, 20 Jul 2022 13:16:29 GMT",The Department of Justice has already returned ransom payments to two hospitals.,technology,94
Apple settles US butterfly-keyboard legal action for $50m,https://www.bbc.co.uk/news/technology-62236778?at_medium=RSS&at_campaign=KARANGA,"Wed, 20 Jul 2022 10:53:20 GMT",Apple will pay $50m (£41.6m) over claims its laptop keyboards were unresponsive and unreliable.,technology,95
Netflix loses almost a million subscribers,https://www.bbc.co.uk/news/business-62226912?at_medium=RSS&at_campaign=KARANGA,"Wed, 20 Jul 2022 01:26:09 GMT",Season four of the hit series Stranger Things may have helped to stem the exodus of Netflix customers.,technology,96
Twitter-Musk takeover dispute heading for October trial,https://www.bbc.co.uk/news/world-us-canada-62058387?at_medium=RSS&at_campaign=KARANGA,"Tue, 19 Jul 2022 19:56:31 GMT",Twitter hopes that the trial will end with a court order for Musk to complete a $44bn takeover bid.,technology,97
Rogers outage: Why a network upgrade pushed millions in Canada offline,https://www.bbc.co.uk/news/world-us-canada-62174477?at_medium=RSS&at_campaign=KARANGA,"Wed, 20 Jul 2022 01:06:34 GMT",A Canadian telecoms giant is under pressure to ensure a network crash felt nationwide doesn't happen again.,technology,98
Apple sued over Apple Pay payment system,https://www.bbc.co.uk/news/technology-62221412?at_medium=RSS&at_campaign=KARANGA,"Tue, 19 Jul 2022 11:25:10 GMT",The tech company is accused of using its monopoly in the mobile industry to fend off competition.,technology,99
China launches second module for its space station Heavenly Palace,https://www.bbc.co.uk/news/world-asia-china-62282862?at_medium=RSS&at_campaign=KARANGA,"Sun, 24 Jul 2022 13:37:54 GMT",Tiangong or Heavenly Palace is scheduled to be operational by the end of 2022.,technology,100
Hands-on with the Nothing 1 phone,https://www.bbc.co.uk/news/technology-62140444?at_medium=RSS&at_campaign=KARANGA,"Tue, 12 Jul 2022 15:29:28 GMT","UK company Nothing's first handset features hundreds of LED lights and has had 200,000 pre-orders.",technology,101
How streaming videos gives a Danish city hot water,https://www.bbc.co.uk/news/technology-62076634?at_medium=RSS&at_campaign=KARANGA,"Tue, 12 Jul 2022 15:59:30 GMT",A datacentre is cooling its servers while providing nearby residents with heating.,technology,102
Neill Blomkamp: Why I am making video game Off The Grid,https://www.bbc.co.uk/news/technology-61979994?at_medium=RSS&at_campaign=KARANGA,"Fri, 08 Jul 2022 10:39:37 GMT","The free-to-play game, featuring a narrative element, will see 150 players fight to be the last one.",technology,103
Ukraine war: President Zelensky's 3D projection asks tech sector for help,https://www.bbc.co.uk/news/technology-61993100?at_medium=RSS&at_campaign=KARANGA,"Fri, 01 Jul 2022 11:18:13 GMT",The Ukrainian president has been outlining his vision for the technology sector in his country.,technology,104
Digital India: How India's digital revolution is connecting millions,https://www.bbc.co.uk/news/world-asia-india-62262512?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 00:44:04 GMT",Access to the internet has transformed the lives of millions in India.,technology,105
A mind-reading combat jet for the future,https://www.bbc.co.uk/news/business-62289737?at_medium=RSS&at_campaign=KARANGA,"Mon, 25 Jul 2022 23:25:30 GMT",The Tempest fighter jet will have artificial intelligence tech to monitor and help the pilot.,technology,106
The tech helping to bring you your morning coffee,https://www.bbc.co.uk/news/business-62235741?at_medium=RSS&at_campaign=KARANGA,"Sun, 24 Jul 2022 23:15:44 GMT","How Brazil, the world's largest grower of coffee, is turning to technology to boost production.",technology,107
The YouTuber who built a career from true crime and make-up ,https://www.bbc.co.uk/news/business-61948546?at_medium=RSS&at_campaign=KARANGA,"Thu, 21 Jul 2022 23:13:41 GMT",Bailey Sarian dabbled in YouTube for years before a chance idea led to a new profession.,technology,108
Whisky makers are turning their backs on peat,https://www.bbc.co.uk/news/business-61596047?at_medium=RSS&at_campaign=KARANGA,"Thu, 21 Jul 2022 23:05:04 GMT",Burning peat has long been a way of adding flavour to whisky but some are now rejected that process.,technology,109
Aerospace electrified by new technology,https://www.bbc.co.uk/news/business-62120130?at_medium=RSS&at_campaign=KARANGA,"Mon, 18 Jul 2022 23:01:11 GMT",Electric and hybrid aircraft are under development which could cut the need for jet fuel.,technology,110
Firms 'going to war' against rivals on social media,https://www.bbc.co.uk/news/business-62161520?at_medium=RSS&at_campaign=KARANGA,"Sun, 17 Jul 2022 23:10:08 GMT",The boss of a high-tech monitoring company says some retailers are spreading lies about competitors.,technology,111
